CNAE,SIC Code,Description
69.2,7320,"Services-Consumer Credit Reporting, Collection Agencies"
90.0,7330,"Services-Mailing, Reproduction, Commercial Art & Photography"
63.9,7331,Services-Direct Mail Advertising Services
74.2,7334,Services-Photocopying and Duplicating Services
81.1,7340,Services-To Dwellings & Other Buildings
43.9,7350,Services-Miscellaneous Equipment Rental & Leasing
88.0,7359,"Services-Equipment Rental & Leasing, NEC"
82.1,7361,Services-Employment Agencies
82.9,7363,Services-Help Supply Services
63.9,7370,"Services-Computer Programming, Data Processing, Etc."
63.9,7371,Services-Computer Programming Services
82.9,7372,Services-Prepackaged Software
62.0,7373,Services-Computer Integrated Systems Design
62.0,7374,Services-Computer Processing & Data Preparation
63.1,7377,Services-Computer Rental & Leasing
82.9,7380,Services-Miscellaneous Business Services
1.7,7381,"Services-Detective, Guard & Armored Car Services"
74.2,7384,Services-Photofinishing Laboratories
61.1,7385,Services-Telephone Interconnect Systems
82.9,7389,"Services-Business Services, NEC"
45.2,7500,"Services-Automotive Repair, Services & Parking"
77.1,7510,Services-Auto Rental & Leasing (No Drivers)
43.9,7600,Services-Miscellaneous Repair Services
26.4,7812,Services-Motion Picture & Video Tape Production
59.1,7819,Services-Allied To Motion Picture Production
26.4,7822,Services-Motion Picture & Video Tape Distribution
59.1,7829,Services-Allied To Motion Picture Distribution
59.1,7830,Services-Motion Picture Theaters
26.4,7841,Services-Video Tape Rental
93.2,7900,Services-Amusement & Recreation Services
1.7,7948,"Services-Racing, Including Track Operation"
93.2,7990,Services-Miscellaneous Amusement & Recreation
63.9,7994,Services-Video Game Arcades
64.9,7995,Services-Gambling Transactions
79.9,7996,Services-Amusement Parks
82.3,7997,Services-Membership Sports & Recreation Clubs
86.6,8000,Services-Health Services
86.5,8011,Services-Offices & Clinics of Doctors of Medicine
96.0,8050,Services-Nursing & Personal Care Facilities
86.1,8051,Services-Skilled Nursing Care Facilities
86.1,8060,Services-Hospitals
86.1,8062,"Services-General Medical & Surgical Hospitals, NEC"
86.1,8071,Services-Medical Laboratories
97.0,8082,Services-Home Health Care Services
86.1,8090,"Services-Misc Health & Allied Services, NEC"
86.1,8093,"Services-Specialty Outpatient Facilities, NEC"
96.0,8111,Services-Legal Services
85.5,8200,Services-Educational Services
88.0,8300,Services-Social Services
96.0,8351,Services-Child Day Care Services
84.2,8600,Services-Membership organizations
3.2,8661,"Religious organizations, churches, places of worship, religious instruction"
82.9,8700,"Services-Engineering, Accounting, Research, Management"
63.9,8711,Services-Engineering Services
74.9,8731,Services-Commercial Physical & Biological Research
71.2,8734,Services-Testing Laboratories
63.9,8741,Services-Management Services
70.2,8742,Services-Management Consulting Services
82.9,8744,Services-Facilities Support Management Services
70.2,8748,"Business Consulting Services, Not Elsewhere Classified"
64.2,8880,American Depositary Receipts
99.0,8888,Foreign Governments
63.9,8900,"Services-Services, NEC"
99.0,9721,International Affairs
94.9,9995,Non-Operating Establishments
